activity_id,user_id,activity_type,timestamp,target_id,details
A000001,U0050,Comment_Post,17-05-2025 19:12,P0483,Class long world try low former.
A000002,U0019,Like_Post,11/6/2025 14:41,P0192,
A000003,U0018,View_Post,20-05-2025 16:34,P0118,
A000004,U0042,Connect_Request,15-05-2025 02:11,,
A000005,U0077,View_Post,6/4/2025 20:18,P0093,
A000006,U0029,Like_Post,20-05-2025 17:49,P0466,
A000007,U0068,View_Post,9/6/2025 15:35,P0412,
A000008,U0023,View_Post,14-06-2025 09:22,P0148,
A000009,U0054,Like_Post,2/4/2025 8:10,P0485,
A000010,U0076,Search_Job,7/4/2025 10:30,,"Scientist, research (life sciences)"
A000011,U0018,View_Profile,8/5/2025 4:39,U0043,
A000012,U0033,Search_Job,28-05-2025 17:45,,Chief Strategy Officer
A000013,U0010,View_Profile,12/5/2025 21:02,U0008,
A000014,U0071,Search_Job,14-05-2025 16:05,,Claims inspector/assessor
A000015,U0032,Like_Post,19-04-2025 01:54,P0175,
A000016,U0089,View_Profile,3/5/2025 1:58,U0017,
A000017,U0066,View_Post,4/4/2025 12:21,P0296,
A000018,U0010,View_Profile,17-06-2025 13:47,U0069,
A000019,U0058,View_Post,18-06-2025 18:24,P0240,
A000020,U0059,View_Profile,18-05-2025 11:35,U0068,
A000021,U0075,Comment_Post,20-04-2025 13:01,P0024,Property chance billion close star cut.
A000022,U0015,Like_Post,21-04-2025 16:23,P0080,
A000023,U0055,View_Profile,17-04-2025 20:50,U0045,
A000024,U0009,Share_Post,15-04-2025 15:42,P0494,
A000025,U0092,Share_Post,6/5/2025 18:23,P0407,
A000026,U0029,Connect_Request,19-04-2025 04:08,,
A000027,U0013,Like_Post,25-05-2025 09:41,P0445,
A000028,U0010,Comment_Post,28-04-2025 09:17,P0360,Media box require try.
A000029,U0076,Comment_Post,17-04-2025 20:40,P0472,Room majority serious spend century.
A000030,U0047,Like_Post,1/6/2025 14:02,P0147,
A000031,U0019,View_Post,27-05-2025 00:48,P0486,
A000032,U0070,Connect_Request,15-04-2025 17:41,,
A000033,U0003,Connect_Request,10/4/2025 10:35,,
A000034,U0072,Comment_Post,14-05-2025 23:16,P0046,Detail front cultural public teach.
A000035,U0055,Comment_Post,17-04-2025 05:32,P0179,Move least how short.
A000036,U0035,Like_Post,24-06-2025 13:41,P0384,
A000037,U0070,Connect_Request,23-04-2025 15:07,,
A000038,U0098,View_Profile,23-06-2025 12:21,U0064,
A000039,U0002,View_Post,24-05-2025 21:56,P0205,
A000040,U0002,Connect_Request,8/4/2025 18:55,,
A000041,U0025,Search_Job,23-04-2025 11:27,,Wellsite geologist
A000042,U0058,Search_Job,10/6/2025 13:23,,Forest/woodland manager
A000043,U0090,View_Profile,5/5/2025 22:16,U0071,
A000044,U0025,Connect_Request,22-06-2025 14:59,,
A000045,U0072,View_Profile,29-04-2025 07:04,U0100,
A000046,U0087,View_Post,7/6/2025 7:27,P0120,
A000047,U0057,View_Post,25-04-2025 05:51,P0192,
A000048,U0035,Connect_Request,25-04-2025 20:53,,
A000049,U0079,View_Post,1/6/2025 8:03,P0312,
A000050,U0019,View_Profile,24-05-2025 17:52,U0018,
A000051,U0076,Like_Post,18-04-2025 05:16,P0197,
A000052,U0043,Search_Job,8/6/2025 19:35,,Building control surveyor
A000053,U0047,Share_Post,15-05-2025 02:18,P0494,
A000054,U0027,Connect_Request,23-05-2025 07:54,,
A000055,U0011,View_Post,16-04-2025 08:44,P0005,
A000056,U0058,Connect_Request,12/6/2025 9:06,,
A000057,U0074,Comment_Post,4/6/2025 11:11,P0367,Note big small happy wear.
A000058,U0038,View_Profile,16-04-2025 04:49,U0027,
A000059,U0029,Share_Post,7/6/2025 8:31,P0025,
A000060,U0069,Like_Post,28-06-2025 07:14,P0300,
A000061,U0020,Share_Post,30-04-2025 01:44,P0069,
A000062,U0062,View_Profile,11/4/2025 20:25,U0030,
A000063,U0043,Share_Post,29-05-2025 13:33,P0348,
A000064,U0067,Share_Post,17-05-2025 14:13,P0413,
A000065,U0083,Like_Post,5/6/2025 0:22,P0278,
A000066,U0032,View_Post,20-05-2025 06:18,P0463,
A000067,U0019,Like_Post,20-04-2025 01:38,P0055,
